A1,N38-08-46.57,W076-25-41.39
A2,N38-09-05.85,W076-25-43.26
A3,N38-09-06.80,W076-25-53.28
A4,N38-09-02.14,W076-26-07.30
A5,N38-08-51.24,W076-25-56.43
A6,N38-08-40.80,W076-25-58.61
A7,N38-08-35.72,W076-26-05.16
A8,N38-08-25.67,W076-25-57.49
A9,N38-08-26.59,W076-25-33.65
A10,N38-08-37.54,W076-25-16.34
A11,N38-08-50.45,W076-25-23.56
A12,N38-08-46.07,W076-25-35.95
S1,N38-08-35.36,W076-26-01.97
S2,N38-08-27.74,W076-25-56.03
S3,N38-08-28.54,W076-25-34.70
S4,N38-08-38.13,W076-25-19.35
S5,N38-08-47.54,W076-25-24.93
W1,N38-08-43.13,W076-25-44.83,200
W2,N38-08-57.20,W076-25-46.14,300
W3,N38-09-00.48,W076-25-51.08,300
W4,N38-08-56.22,W076-25-56.23,300
W5,N38-08-49.24,W076-25-50.31,400
W6,N38-08-37.62,W076-25-55.18,200



